 E. Haaland,Norway,ST,19,,,Borussia Dortmund,,,,
 J. Ward-Prowse,England,CM,25,,,Southampton,,,,
 D. Man,Romania,RW,21,,,FCSB (Steaua),,,,
 Emerson,Brazil,"RB,RM,RWB",21,,,Real Betis,,,,
 R. Cherki,France,"RW,LW,CAM",16,,,Olympique Lyonnais,,,,
 T. Alexander-Arnold,England,RB,21,,,Liverpool,,,,
 G. Reyna,United States,"CAM,LM,CF",17,,,Borussia Dortmund,,,,
 B. White,England,"N/A,CM,CB,CM",22,,,Brighton & Hove Albion,,,,
 K. Adeyemi,Germany,ST,18,,,FC Red Bull Salzburg,,,,
 J. Gvardiol,Croatia,"CB,LB",18,,,Dinamo Zagreb,,,,
 M. Greenwood,England,"RM,ST",18,,,Manchester United,,,,
 D. Szoboszlai,Hungary,"CAM,LM",19,,,FC Red Bull Salzburg,,,,
 F. Wirtz,Germany,"CAM,RM",17,,,Bayer 04 Leverkusen,,,,
 T. Almada,Argentina,"CAM,CM,LW",19,,,Vélez Sarsfield,,,,
 Pau Torres,Spain,CB,23,,,Villarreal CF,,,,
 N. Madueke,England,"RM,ST",18,,,PSV,,,,
 J. Bellingham,England,"CM,LM",17,,,Borussia Dortmund,,,,
 Bruno Fernandes,Portugal,"CAM,CM",25,,,Manchester United,,,,
 Pol Lirola,Spain,"RM,RB",22,,,Fiorentina,,,,
 D. Upamecano,France,CB,21,,,RB Leipzig,,,,
 Ansu Fati,Spain,LW,17,,,FC Barcelona,,,,
 A. Hložek,Czech Republic,"ST,LM,RM",17,,,Sparta Praha,,,,
 A. Davies,Canada,"LB,LM,RM",19,,,FC Bayern München,,,,
 K. Mbappé,France,"ST,LW,RW",21,,,Paris Saint-Germain,,,,
 Cristiano Ronaldo,Portugal,"ST,LW",35,,,Juventus,,,,
 Matheus Cunha,Brazil,"CAM,ST,LM",21,,,Hertha BSC,,,,
 J. David,Canada,"ST,CAM",20,,,LOSC Lille,,,,
 S. Tonali,Italy,"CDM,CM",20,,,Milan,,,,
 L. Stergiou,Switzerland,CB,18,,,FC St. Gallen,,,,
 M. Olise,France,"CAM,LM,RM",18,,,Reading,,,,
 W. Fofana,France,CB,19,,,Leicester City,,,,
 J. Doku,Belgium,"RW,LW",18,,,Stade Rennais FC,,,,
 F. Pellistri,Uruguay,"RM,RW",18,,,Manchester United,,,,
 J. Brandt,Germany,"CAM,CM,CF",24,,,Borussia Dortmund,,,,
 E. Tapsoba,Burkina Faso,CB,21,,,Bayer 04 Leverkusen,,,,
 J. Sancho,England,"RM,CF,CAM",20,,,Borussia Dortmund,,,,
 A. Velasco,Argentina,LM,17,,,Independiente,,,,
